date,AQI,PM25,PM10,So2,No2,Co,O3,AQI_pred
2017-12-30,157.0,116.0,129.0,4.0,62.0,2.03,22.0,155.44644
2017-12-31,55.0,29.0,62.0,5.0,47.0,0.83,21.0,54.01697
2018-01-01,55.0,35.0,65.0,11.0,46.0,1.23,23.0,60.67446
2018-01-02,46.0,27.0,48.0,6.0,35.0,0.94,28.0,47.47397
2018-01-03,29.0,10.0,26.0,4.0,20.0,0.44,44.0,31.833054
2018-01-04,28.0,14.0,27.0,4.0,31.0,0.51,32.0,31.050938
2018-01-05,51.0,30.0,52.0,8.0,51.0,0.95,20.0,50.24994
2018-01-06,29.0,14.0,27.0,5.0,38.0,0.57,35.0,32.190826
2018-01-07,56.0,37.0,57.0,10.0,46.0,0.92,27.0,56.36187
2018-01-08,51.0,12.0,56.0,3.0,10.0,0.34,60.0,49.283184
2018-01-09,37.0,6.0,32.0,2.0,12.0,0.35,58.0,35.382687
2018-01-10,32.0,5.0,20.0,2.0,8.0,0.3,62.0,31.483727
2018-01-11,30.0,10.0,21.0,4.0,22.0,0.47,46.0,30.26633
2018-01-12,77.0,55.0,77.0,12.0,72.0,1.32,11.0,73.665955
2018-01-13,130.0,98.0,122.0,17.0,85.0,1.83,8.0,129.45676
2018-01-14,177.0,136.0,151.0,13.0,77.0,1.91,23.0,176.10815
2018-01-15,48.0,29.0,52.0,7.0,48.0,0.94,29.0,48.268505
2018-01-16,114.0,45.0,175.0,5.0,43.0,0.79,37.0,116.93857
2018-01-17,77.0,43.0,106.0,9.0,51.0,1.09,31.0,79.982315
2018-01-18,87.0,56.0,96.0,11.0,74.0,1.19,14.0,80.97141
2018-01-19,108.0,80.0,119.0,14.0,78.0,1.56,19.0,108.359215
2018-01-20,61.0,30.0,73.0,9.0,51.0,0.88,24.0,59.71647
2018-01-21,63.0,35.0,74.0,20.0,47.0,1.3,21.0,57.28413
2018-01-22,45.0,23.0,47.0,4.0,28.0,0.7,45.0,44.261593
2018-01-23,35.0,8.0,29.0,3.0,14.0,0.44,58.0,34.181847
2018-01-24,36.0,15.0,30.0,4.0,28.0,0.48,52.0,36.998787
2018-01-25,29.0,8.0,21.0,3.0,26.0,0.44,52.0,30.203907
2018-01-26,39.0,24.0,36.0,7.0,43.0,0.6,34.0,40.17287
2018-01-27,105.0,78.0,92.0,14.0,71.0,1.48,9.0,104.22715
2018-01-28,56.0,13.0,62.0,2.0,16.0,0.42,62.0,54.651184
