日期,AQI指数,PM2.5,PM10,So2,No2,Co,O3
2018-08-15,37,12,27,1,21,0.5,66
2018-08-16,53,12,29,4,20,0.42,100
2018-08-17,100,32,63,2,30,0.63,152
2018-08-18,46,13,23,4,22,0.49,77
2018-08-19,40,20,36,2,27,0.73,51
2018-08-20,51,22,38,4,20,0.7,87
2018-08-21,44,12,32,1,24,0.43,84
2018-08-22,47,17,47,4,39,0.63,43
2018-08-23,51,15,40,2,27,0.58,86
2018-08-25,90,34,74,3,24,0.72,136
2018-08-27,114,59,83,5,29,1.02,147
2018-08-29,44,6,24,1,19,0.41,91
2018-08-31,62,14,30,2,21,0.51,119
